code=104, textureId=0, prespace=0, width=7, advance=7, top=(478, 1), bottom=(485, 14)
code=105, textureId=0, prespace=0, width=3, advance=3, top=(485, 1), bottom=(488, 14)
code=106, textureId=0, prespace=0, width=3, advance=3, top=(488, 1), bottom=(491, 14)
code=107, textureId=0, prespace=0, width=6, advance=6, top=(491, 1), bottom=(497, 14)
code=108, textureId=0, prespace=0, width=3, advance=3, top=(497, 1), bottom=(500, 14)
code=109, textureId=0, prespace=0, width=10, advance=10, top=(500, 1), bottom=(510, 14)
code=110, textureId=0, prespace=0, width=7, advance=7, top=(1, 14), bottom=(8, 27)
code=111, textureId=0, prespace=0, width=7, advance=7, top=(8, 14), bottom=(15, 27)
code=112, textureId=0, prespace=0, width=6, advance=6, top=(15, 14), bottom=(21, 27)
code=113, textureId=0, prespace=0, width=6, advance=6, top=(21, 14), bottom=(27, 27)
code=114, textureId=0, prespace=0, width=5, advance=5, top=(27, 14), bottom=(32, 27)
code=115, textureId=0, prespace=0, width=6, advance=6, top=(32, 14), bottom=(38, 27)
code=116, textureId=0, prespace=0, width=5, advance=5, top=(38, 14), bottom=(43, 27)
code=117, textureId=0, prespace=0, width=7, advance=7, top=(43, 14), bottom=(50, 27)
code=118, textureId=0, prespace=0, width=6, advance=6, top=(50, 14), bottom=(56, 27)
code=119, textureId=0, prespace=0, width=8, advance=8, top=(56, 14), bottom=(64, 27)
code=120, textureId=0, prespace=0, width=6, advance=6, top=(64, 14), bottom=(70, 27)
code=121, textureId=0, prespace=0, width=6, advance=6, top=(70, 14), bottom=(76, 27)
code=122, textureId=0, prespace=0, width=6, advance=6, top=(76, 14), bottom=(82, 27)
code=123, textureId=0, prespace=0, width=3, advance=3, top=(82, 14), bottom=(85, 27)
code=124, textureId=0, prespace=0, width=3, advance=3, top=(85, 14), bottom=(88, 27)
code=125, textureId=0, prespace=0, width=3, advance=3, top=(88, 14), bottom=(91, 27)
code=126, textureId=0, prespace=0, width=5, advance=5, top=(91, 14), bottom=(96, 27)
code=127, textureId=0, prespace=0, width=7, advance=7, top=(96, 14), bottom=(103, 27)
code=160, textureId=0, prespace=0, width=4, advance=4, top=(103, 14), bottom=(107, 27)
code=161, textureId=0, prespace=0, width=3, advance=3, top=(107, 14), bottom=(110, 27)
code=162, textureId=0, prespace=0, width=7, advance=7, top=(110, 14), bottom=(117, 27)
code=163, textureId=0, prespace=0, width=9, advance=9, top=(117, 14), bottom=(126, 27)
code=164, textureId=0, prespace=0, width=7, advance=7, top=(126, 14), bottom=(133, 27)
code=165, textureId=0, prespace=0, width=8, advance=8, top=(133, 14), bottom=(141, 27)
code=166, textureId=0, prespace=0, width=3, advance=3, top=(141, 14), bottom=(144, 27)
code=167, textureId=0, prespace=0, width=13, advance=13, top=(144, 14), bottom=(157, 27)
code=168, textureId=0, prespace=0, width=7, advance=7, top=(157, 14), bottom=(164, 27)
code=169, textureId=0, prespace=0, width=9, advance=9, top=(164, 14), bottom=(173, 27)
code=170, textureId=0, prespace=0, width=5, advance=5, top=(173, 14), bottom=(178, 27)
code=171, textureId=0, prespace=0, width=9, advance=9, top=(178, 14), bottom=(187, 27)
code=172, textureId=0, prespace=0, width=8, advance=8, top=(187, 14), bottom=(195, 27)
code=173, textureId=0, prespace=0, width=7, advance=7, top=(195, 14), bottom=(202, 27)
code=174, textureId=0, prespace=0, width=9, advance=9, top=(202, 14), bottom=(211, 27)
code=175, textureId=0, prespace=0, width=9, advance=9, top=(211, 14), bottom=(220, 27)
code=176, textureId=0, prespace=0, width=13, advance=13, top=(220, 14), bottom=(233, 27)
code=177, textureId=0, prespace=0, width=13, advance=13, top=(233, 14), bottom=(246, 27)
code=178, textureId=0, prespace=0, width=3, advance=3, top=(246, 14), bottom=(249, 27)
code=179, textureId=0, prespace=0, width=3, advance=3, top=(249, 14), bottom=(252, 27)
code=180, textureId=0, prespace=0, width=7, advance=7, top=(252, 14), bottom=(259, 27)
code=181, textureId=0, prespace=0, width=7, advance=7, top=(259, 14), bottom=(266, 27)
code=182, textureId=0, prespace=0, width=7, advance=7, top=(266, 14), bottom=(273, 27)
code=183, textureId=0, prespace=0, width=3, advance=3, top=(273, 14), bottom=(276, 27)
code=184, textureId=0, prespace=0, width=3, advance=3, top=(276, 14), bottom=(279, 27)
code=185, textureId=0, prespace=0, width=3, advance=3, top=(279, 14), bottom=(282, 27)
code=186, textureId=0, prespace=0, width=5, advance=5, top=(282, 14), bottom=(287, 27)
code=187, textureId=0, prespace=0, width=9, advance=9, top=(287, 14), bottom=(296, 27)
code=188, textureId=0, prespace=0, width=7, advance=7, top=(296, 14), bottom=(303, 27)
code=189, textureId=0, prespace=0, width=7, advance=7, top=(303, 14), bottom=(310, 27)
