code=32, textureId=0, prespace=0, width=6, advance=6, top=(1, 1), bottom=(7, 20)
code=33, textureId=0, prespace=0, width=4, advance=4, top=(7, 1), bottom=(11, 20)
code=34, textureId=0, prespace=0, width=10, advance=10, top=(11, 1), bottom=(21, 20)
code=35, textureId=0, prespace=0, width=10, advance=10, top=(21, 1), bottom=(31, 20)
code=36, textureId=0, prespace=0, width=10, advance=10, top=(31, 1), bottom=(41, 20)
code=37, textureId=0, prespace=0, width=10, advance=10, top=(41, 1), bottom=(51, 20)
code=38, textureId=0, prespace=0, width=11, advance=11, top=(51, 1), bottom=(62, 20)
code=39, textureId=0, prespace=0, width=4, advance=4, top=(62, 1), bottom=(66, 20)
code=40, textureId=0, prespace=0, width=6, advance=6, top=(66, 1), bottom=(72, 20)
code=41, textureId=0, prespace=0, width=6, advance=6, top=(72, 1), bottom=(78, 20)
code=42, textureId=0, prespace=0, width=10, advance=10, top=(78, 1), bottom=(88, 20)
code=43, textureId=0, prespace=0, width=10, advance=10, top=(88, 1), bottom=(98, 20)
code=44, textureId=0, prespace=0, width=4, advance=4, top=(98, 1), bottom=(102, 20)
code=45, textureId=0, prespace=0, width=10, advance=10, top=(102, 1), bottom=(112, 20)
code=46, textureId=0, prespace=0, width=4, advance=4, top=(112, 1), bottom=(116, 20)
code=47, textureId=0, prespace=0, width=10, advance=10, top=(116, 1), bottom=(126, 20)
code=48, textureId=0, prespace=0, width=10, advance=10, top=(126, 1), bottom=(136, 20)
code=49, textureId=0, prespace=0, width=10, advance=10, top=(136, 1), bottom=(146, 20)
code=50, textureId=0, prespace=0, width=10, advance=10, top=(146, 1), bottom=(156, 20)
code=51, textureId=0, prespace=0, width=10, advance=10, top=(156, 1), bottom=(166, 20)
code=52, textureId=0, prespace=0, width=10, advance=10, top=(166, 1), bottom=(176, 20)
code=53, textureId=0, prespace=0, width=10, advance=10, top=(176, 1), bottom=(186, 20)
code=54, textureId=0, prespace=0, width=10, advance=10, top=(186, 1), bottom=(196, 20)
code=55, textureId=0, prespace=0, width=10, advance=10, top=(196, 1), bottom=(206, 20)
code=56, textureId=0, prespace=0, width=10, advance=10, top=(206, 1), bottom=(216, 20)
code=57, textureId=0, prespace=0, width=10, advance=10, top=(216, 1), bottom=(226, 20)
code=58, textureId=0, prespace=0, width=4, advance=4, top=(226, 1), bottom=(230, 20)
code=59, textureId=0, prespace=0, width=4, advance=4, top=(230, 1), bottom=(234, 20)
code=60, textureId=0, prespace=0, width=10, advance=10, top=(234, 1), bottom=(244, 20)
code=61, textureId=0, prespace=0, width=10, advance=10, top=(244, 1), bottom=(254, 20)
code=62, textureId=0, prespace=0, width=10, advance=10, top=(254, 1), bottom=(264, 20)
code=63, textureId=0, prespace=0, width=9, advance=9, top=(264, 1), bottom=(273, 20)
code=64, textureId=0, prespace=0, width=13, advance=13, top=(273, 1), bottom=(286, 20)
code=65, textureId=0, prespace=0, width=12, advance=12, top=(286, 1), bottom=(298, 20)
code=66, textureId=0, prespace=0, width=12, advance=12, top=(298, 1), bottom=(310, 20)
code=67, textureId=0, prespace=0, width=13, advance=13, top=(310, 1), bottom=(323, 20)
code=68, textureId=0, prespace=0, width=12, advance=12, top=(323, 1), bottom=(335, 20)
code=69, textureId=0, prespace=0, width=11, advance=11, top=(335, 1), bottom=(346, 20)
code=70, textureId=0, prespace=0, width=10, advance=10, top=(346, 1), bottom=(356, 20)
code=71, textureId=0, prespace=0, width=13, advance=13, top=(356, 1), bottom=(369, 20)
code=72, textureId=0, prespace=0, width=12, advance=12, top=(369, 1), bottom=(381, 20)
code=73, textureId=0, prespace=0, width=5, advance=5, top=(381, 1), bottom=(386, 20)
code=74, textureId=0, prespace=0, width=10, advance=10, top=(386, 1), bottom=(396, 20)
code=75, textureId=0, prespace=0, width=11, advance=11, top=(396, 1), bottom=(407, 20)
code=76, textureId=0, prespace=0, width=10, advance=10, top=(407, 1), bottom=(417, 20)
code=77, textureId=0, prespace=0, width=14, advance=14, top=(417, 1), bottom=(431, 20)
code=78, textureId=0, prespace=0, width=12, advance=12, top=(431, 1), bottom=(443, 20)
code=79, textureId=0, prespace=0, width=13, advance=13, top=(443, 1), bottom=(456, 20)
code=80, textureId=0, prespace=0, width=12, advance=12, top=(456, 1), bottom=(468, 20)
code=81, textureId=0, prespace=0, width=13, advance=13, top=(468, 1), bottom=(481, 20)
code=82, textureId=0, prespace=0, width=12, advance=12, top=(481, 1), bottom=(493, 20)
code=83, textureId=0, prespace=0, width=11, advance=11, top=(493, 1), bottom=(504, 20)
code=84, textureId=0, prespace=0, width=11, advance=11, top=(1, 20), bottom=(12, 39)
code=85, textureId=0, prespace=0, width=12, advance=12, top=(12, 20), bottom=(24, 39)
code=86, textureId=0, prespace=0, width=12, advance=12, top=(24, 20), bottom=(36, 39)
code=87, textureId=0, prespace=0, width=14, advance=14, top=(36, 20), bottom=(50, 39)
code=88, textureId=0, prespace=0, width=11, advance=11, top=(50, 20), bottom=(61, 39)
code=89, textureId=0, prespace=0, width=11, advance=11, top=(61, 20), bottom=(72, 39)
code=90, textureId=0, prespace=0, width=11, advance=11, top=(72, 20), bottom=(83, 39)
code=91, textureId=0, prespace=0, width=6, advance=6, top=(83, 20), bottom=(89, 39)
code=92, textureId=0, prespace=0, width=10, advance=10, top=(89, 20), bottom=(99, 39)
